,Name,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,Total_VBur,SW_VBur,NW_VBur,NE_VBur,SE_VBur,N_AVG,S_AVG,Phenylene_backbone,Pd-O Distance,Alkoxy,Charge,%Filled_x,%Filled_y,Weighted %Filled
46,p-o-33,94.0,2.478742380347946,2.114961555002123,0.39047,0.98983,-1.05257,0.1545,2.0424,0.363780825345823,50.0,34.0,44.5,55.1,66.3,49.98,50.15,1,3.05,1,1,16.901408450704224,28.380281690140844,1.5525975103859257
47,p-o-34,94.0,2.466375924007936,2.111120306706608,0.36471,0.99442,-1.05013,0.1592099999999999,2.04455,0.3552556173013284,43.3,30.4,45.4,48.3,49.0,43.28,39.7,1,0.0,0,1,12.548015364916774,21.549295774647888,0.5338020733873351
48,p-o-35,93.0,2.476919020622798,2.103932515481426,0.36001,0.96714,-1.05409,0.16397,2.02123,0.3729865051413719,48.7,29.2,55.1,57.4,53.1,48.7,41.15,1,0.0,0,1,17.797695262483995,28.943661971830984,1.3915540050158388
49,p-o-36,96.0,2.4908523583755424,2.107972299056608,0.4089,0.97777,-1.05608,0.16148,2.03385,0.3828800593189347,46.3,31.2,45.9,59.5,48.7,46.32,39.95,1,0.0,0,1,17.797695262483995,40.84507042253521,1.0417061404669397
50,p-o-37,91.0,2.4398431274311467,2.0887545487110257,0.37432,0.98841,-1.04631,0.16414,2.03472,0.351088578720121,47.8,54.5,31.3,53.4,51.8,47.76,53.15,1,0.0,0,1,18.950064020486554,21.901408450704224,0.8942347471284062
51,p-o-38,90.0,2.446549106379228,2.081900458650461,0.37824,0.96494,-1.08492,0.1636099999999999,2.04986,0.3646486477287673,52.0,37.5,64.2,56.4,50.1,52.04,43.8,1,0.0,0,1,19.206145966709347,28.52112676056338,1.6145777991690637
52,p-o-39,89.0,2.4383206903500207,2.0773622453748883,0.37939,0.99064,-1.08078,0.16323,2.07142,0.3609584449751324,50.7,37.2,65.8,51.5,48.4,50.72,42.8,1,0.0,0,1,19.206145966709347,26.901408450704224,1.612416940566729
53,p-o-40,90.0,2.421193775730683,2.066431516853632,0.38887,1.00176,-1.09611,0.16103,2.09787,0.3547622588770514,49.8,52.4,45.4,48.6,53.0,49.84,52.7,1,0.0,0,1,15.492957746478874,19.859154929577464,0.6520934578480546
54,p-o-41,93.0,2.4510187326020176,2.0915302005629752,0.41599,0.99942,-1.05388,0.15992,2.0533,0.3594885320390424,50.5,33.7,44.5,59.9,64.0,50.52,48.85,1,3.14,1,1,13.316261203585148,24.718309859154928,1.6770568919397943
55,p-o-42,84.0,2.425285583407653,2.0796102851758067,0.42914,1.01926,-1.07248,0.15593,2.09174,0.3456752982318463,48.9,48.8,30.6,55.3,60.9,48.9,54.85,1,3.27,1,1,14.852752880921894,18.661971830985916,1.3336800573009528
56,p-o-43,91.0,2.4355176810897925,2.0746184182384,0.41279,0.99537,-1.09114,0.1595399999999999,2.08651,0.3608992628513925,57.1,42.9,57.2,65.6,62.7,57.1,52.8,1,3.07,1,1,21.12676056338028,29.718309859154928,2.3035749028690904
57,p-o-44,92.0,2.433349412110599,2.068451707349001,0.37789,1.00058,-1.07341,0.16516,2.07399,0.364897704761598,49.7,33.5,55.8,55.3,54.3,49.72,43.9,1,0.0,0,1,16.77336747759283,19.225352112676056,1.0885854987118955
58,p-o-45,94.0,2.452727173992656,2.092090730562372,0.41164,0.99748,-1.05578,0.1548999999999999,2.05326,0.3606364434302835,50.0,33.6,47.2,61.0,58.4,50.04,46.0,1,2.93,1,1,12.419974391805377,25.91549295774648,1.5956974566697057
59,p-o-8,89.0,2.4433243425196336,2.079455291581428,0.38382,0.99616,-1.05366,0.16143,2.04982,0.3638690509382059,49.6,31.7,65.5,52.9,48.2,49.58,39.95,1,0.0,0,1,14.7247119078105,22.746478873239436,1.5025841358893886
60,p-o-9,94.0,2.4533808845774434,2.0930520605732674,0.37722,0.99476,-1.03273,0.16295,2.02749,0.360328824004176,45.0,29.8,49.9,50.4,49.8,44.98,39.8,1,0.0,0,1,11.267605633802816,20.211267605633804,0.5776518964974574
